hhd,pid,age_group,gender,age,income,hhd_income,education_level,status,number,license,cv,bev,phev,buybev,buyphev,buycv,fri,adv,nei,old-pid,OLD-hid,Number1,Long,Lat,S11,S11L,S12,S12L,S13,S13L,S21,S21L,S22,S22L,S23,S23L,L11,L11L,L12,L12L,L13,L13L,L21,L21L,L22,L22L,L23,L23L
1862,4782,4,0,43,20000,408000,1,2,3,1,1,0,1,2,1,3,1,1,1,346,145,3,113.8488247,22.61528135,0,0,0,0,0,0,2,1,1,2,1,1,3,3,2,2,2,3,2,1,0,0,0,0
1862,4783,4,1,43,12500,408000,1,2,3,1,1,0,0,1,4,4,1,0,0,344,145,3,113.9101184,22.66013986,4,1,1,2,0,0,1,2,1,3,1,2,2,2,2,3,0,0,0,0,0,0,0,0
1862,4784,1,0,6,0,408000,1,1,3,0,0,0,0,4,1,1,0,0,0,345,145,3,113.8387162,22.6868096,1,1,1,2,3,1,2,2,1,3,0,0,3,1,3,2,4,2,2,1,0,0,0,0
1862,4785,4,0,43,20000,408000,1,2,3,1,1,0,1,2,1,3,1,1,1,346,145,3,113.9334791,22.49288787,4,3,0,0,0,0,2,1,2,1,0,0,1,1,0,0,0,0,2,3,1,3,2,3
1862,4786,4,1,43,12500,408000,1,2,3,1,1,0,0,1,4,4,1,0,0,344,145,3,113.9114708,22.50905464,3,1,2,3,3,3,0,0,0,0,0,0,5,2,2,2,2,1,0,0,0,0,0,0
1862,4787,1,0,7,0,408000,1,1,3,0,0,0,0,4,1,1,0,0,0,345,145,3,113.9367327,22.50231231,5,2,5,1,2,1,2,2,2,2,1,3,4,3,1,2,4,3,2,1,2,3,1,2
1862,4788,4,0,43,20000,408000,1,2,3,1,1,0,1,2,1,3,1,1,1,346,145,3,113.9113472,22.53336493,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1863,4789,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.8953067,22.48545968,2,3,0,0,0,0,2,1,2,1,0,0,5,2,1,2,2,3,0,0,0,0,0,0
1863,4790,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.0665768,22.51979943,1,3,2,1,5,2,0,0,0,0,0,0,2,3,4,1,4,2,1,3,0,0,0,0
1863,4791,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0363975,22.57228122,5,2,5,2,0,0,2,2,0,0,0,0,4,3,3,3,4,2,2,2,1,3,1,2
1864,4792,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.0237941,22.60102673,5,3,5,3,0,0,1,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1864,4793,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.2365236,22.58810713,0,0,0,0,0,0,1,2,1,2,0,0,2,1,2,2,1,3,2,3,1,1,1,2
1864,4794,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.9433599,22.77011474,0,0,0,0,0,0,1,3,2,2,1,2,3,2,1,2,2,3,0,0,0,0,0,0
1865,4795,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.8875857,22.49076602,3,3,4,3,4,2,1,3,2,3,1,1,4,1,1,1,4,3,1,2,1,1,0,0
1865,4796,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.9240269,22.48217037,5,3,1,2,0,0,1,1,1,3,2,2,3,2,1,3,2,2,1,3,1,1,0,0
1865,4797,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.9621245,22.54681796,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
1866,4798,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.0178593,22.5575223,0,0,0,0,0,0,2,3,2,2,2,1,1,2,4,2,4,1,1,1,0,0,0,0
1866,4799,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.9633945,22.57023489,0,0,0,0,0,0,1,1,0,0,0,0,3,3,1,3,1,3,1,3,0,0,0,0
1866,4800,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.1260941,22.57110438,1,3,0,0,0,0,0,0,0,0,0,0,4,2,1,2,0,0,1,3,1,3,0,0
1867,4801,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.0646213,22.69077496,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,1,4,1,1,2,2,3,1,3
1867,4802,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.0136501,22.6753403,4,1,5,1,3,2,1,3,2,2,2,3,2,1,3,2,0,0,0,0,0,0,0,0
1867,4803,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.3021619,22.59713807,5,2,3,2,2,3,0,0,0,0,0,0,3,3,4,2,3,3,2,2,1,3,2,3
1868,4804,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.4136533,22.62927317,4,2,1,3,2,3,2,1,2,2,0,0,3,3,2,1,2,1,1,3,0,0,0,0
1868,4805,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.3184147,22.67755491,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,2,3
1868,4806,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.2457927,22.71076303,1,2,1,3,2,2,2,3,0,0,0,0,5,3,4,3,1,3,1,3,0,0,0,0
1869,4807,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.8488247,22.61528135,5,3,1,1,2,1,0,0,0,0,0,0,1,2,1,3,2,2,2,1,0,0,0,0
1869,4808,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.9101184,22.66013986,3,2,0,0,0,0,0,0,0,0,0,0,5,3,2,2,3,3,1,3,2,2,1,3
1869,4809,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.8387162,22.6868096,4,3,4,3,5,2,1,3,2,3,1,2,4,2,2,2,1,3,2,2,1,2,2,3
1870,4810,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.9334791,22.49288787,3,2,3,1,3,3,1,3,1,3,1,1,3,3,2,1,5,1,2,3,0,0,0,0
1870,4811,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.9114708,22.50905464,5,2,3,3,5,2,2,3,2,2,1,3,3,2,5,1,3,3,0,0,0,0,0,0
1870,4812,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.9367327,22.50231231,2,2,1,2,1,2,0,0,0,0,0,0,1,3,2,3,5,3,2,2,1,2,1,3
1871,4813,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.9113472,22.53336493,1,1,2,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,2
1871,4814,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.0885324,22.5406077,3,2,3,1,1,2,2,2,2,2,2,3,0,0,0,0,0,0,2,1,2,2,0,0
1871,4815,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0824115,22.5387521,4,2,2,2,2,3,2,2,2,3,2,1,2,3,5,2,1,2,0,0,0,0,0,0
1872,4816,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.0403313,22.51237193,5,1,0,0,0,0,0,0,0,0,0,0,5,1,1,2,2,2,1,3,0,0,0,0
1872,4817,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.013636,22.54014443,2,1,0,0,0,0,1,2,0,0,0,0,1,3,3,1,1,2,2,1,1,1,0,0
1872,4818,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0018929,22.53809848,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,3,3,0,0,0,0,0,0
1873,4819,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.0609475,22.56083134,4,1,5,1,4,2,2,1,1,3,0,0,5,3,2,1,2,1,0,0,0,0,0,0
1873,4820,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.0531883,22.56284048,0,0,0,0,0,0,2,3,2,3,1,3,4,1,3,1,3,2,2,2,2,3,1,2
1873,4821,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0476635,22.57049274,4,2,1,2,2,2,0,0,0,0,0,0,5,3,2,3,4,2,1,2,0,0,0,0
1874,4822,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.0571629,22.61951878,1,2,1,3,2,2,0,0,0,0,0,0,4,2,1,1,0,0,0,0,0,0,0,0
1874,4823,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.1020086,22.55168613,1,2,1,1,5,3,1,3,0,0,0,0,2,2,4,1,5,1,1,2,1,2,0,0
1874,4824,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0888063,22.55399438,2,2,1,3,2,2,2,3,0,0,0,0,3,2,4,3,4,3,1,3,1,2,1,2
1875,4825,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.1180468,22.54206211,5,1,4,3,2,1,2,3,2,1,0,0,2,2,0,0,0,0,1,2,0,0,0,0
1875,4826,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.1157602,22.56400417,1,2,4,1,1,2,0,0,0,0,0,0,4,1,1,1,1,3,2,3,1,3,2,3
1875,4827,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.1222791,22.57617283,3,2,2,3,3,2,2,3,1,3,0,0,1,2,0,0,4,3,2,3,1,3,0,0
1876,4828,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.0894393,22.56290656,0,0,0,0,0,0,1,1,1,3,2,3,2,3,5,2,4,2,0,0,0,0,0,0
1876,4829,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.1401384,22.61120062,3,2,5,3,5,2,0,0,0,0,0,0,5,3,5,2,4,2,2,2,2,3,0,0
1876,4830,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.1197687,22.62633015,0,0,0,0,0,0,2,2,2,3,0,0,3,3,4,3,5,3,1,2,0,0,0,0
1877,4831,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.126973,22.69419729,1,2,2,3,1,3,0,0,0,0,0,0,4,1,1,3,0,0,0,0,0,0,0,0
1877,4832,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.0199251,22.63042303,5,1,3,3,1,2,2,2,1,1,0,0,4,2,2,1,2,3,1,1,2,1,0,0
1877,4833,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0188888,22.64670022,2,2,0,0,0,0,1,3,2,2,1,3,0,0,0,0,0,0,2,2,1,2,0,0
1878,4834,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.037148,22.62550439,2,3,3,1,2,2,2,1,1,3,0,0,5,1,5,3,4,2,0,0,0,0,0,0
1878,4835,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.0709623,22.62817986,1,2,1,1,5,2,0,0,0,0,0,0,5,2,5,3,1,3,1,1,0,0,0,0
1878,4836,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0317398,22.64655164,4,3,5,2,5,3,1,2,1,3,2,2,5,3,2,3,5,3,0,0,0,0,0,0
1879,4837,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.0128285,22.67028172,5,2,2,2,1,3,0,0,0,0,0,0,3,1,5,1,3,3,2,3,2,3,2,3
1879,4838,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.2361798,22.71058806,1,3,1,1,0,0,2,3,0,0,0,0,1,3,3,1,4,1,0,0,0,0,0,0
1879,4839,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.2430976,22.71410947,4,2,3,2,2,2,1,2,1,3,1,1,4,3,3,2,0,0,1,2,2,2,2,3
1880,4840,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.2456781,22.71207494,4,1,1,1,1,1,0,0,0,0,0,0,2,2,2,2,3,2,1,2,0,0,0,0
1880,4841,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.2582854,22.72174494,1,1,0,0,0,0,2,2,2,1,1,1,5,2,3,2,0,0,2,3,0,0,0,0
1880,4842,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.2259198,22.73338826,0,0,0,0,0,0,1,2,0,0,0,0,3,2,5,3,4,2,0,0,0,0,0,0
1881,4843,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.3755009,22.74798083,1,1,1,2,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0
1881,4844,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.9004707,22.55732774,4,2,5,2,1,1,0,0,0,0,0,0,4,2,3,1,0,0,2,1,0,0,0,0
1881,4845,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.8874661,22.57012128,2,3,3,3,5,3,0,0,0,0,0,0,5,2,2,2,5,3,1,3,0,0,0,0
1882,4846,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.896645,22.5725377,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,1,1,0,0,0,0
1882,4847,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.8967133,22.57856619,1,2,1,3,0,0,0,0,0,0,0,0,1,2,5,3,5,2,1,1,2,3,0,0
1882,4848,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.8852966,22.57312598,1,2,0,0,0,0,0,0,0,0,0,0,4,2,5,2,1,2,0,0,0,0,0,0
1883,4849,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.8777096,22.57949476,3,3,0,0,0,0,0,0,0,0,0,0,5,1,1,2,3,3,2,1,1,3,1,3
1883,4850,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.8549526,22.57981904,3,2,3,1,5,3,2,3,1,2,2,2,5,1,3,1,5,3,2,1,1,1,1,3
1883,4851,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.9026307,22.55983145,0,0,0,0,0,0,2,2,2,2,2,3,0,0,0,0,0,0,1,2,2,2,2,3
1884,4852,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.8644714,22.58631445,3,1,1,3,5,2,0,0,0,0,0,0,3,2,5,1,1,3,0,0,0,0,0,0
1884,4853,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.8573147,22.59211009,3,3,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1884,4854,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.9232541,22.64493931,1,3,1,3,1,2,0,0,0,0,0,0,2,2,3,3,2,3,1,3,2,3,0,0
1885,4855,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.9274145,22.68508078,4,3,4,2,0,0,0,0,0,0,0,0,5,2,3,2,3,3,1,2,2,3,0,0
1885,4856,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.8294674,22.6924751,5,1,1,1,4,2,1,1,1,2,1,3,5,2,3,3,1,2,2,2,0,0,0,0
1885,4857,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.8401454,22.70575501,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1886,4858,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.7862812,22.71663779,2,1,1,3,3,3,2,2,1,3,2,3,2,2,0,0,0,0,1,3,0,0,0,0
1886,4859,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.8107386,22.72287328,3,3,1,3,0,0,0,0,0,0,0,0,2,3,2,2,1,1,2,1,0,0,0,0
1886,4860,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.8415137,22.71894321,0,0,0,0,0,0,1,2,2,3,0,0,5,2,3,2,5,2,0,0,0,0,0,0
1887,4861,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.8347666,22.72548099,1,3,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1887,4862,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.8365922,22.76627214,2,3,4,2,5,3,1,2,2,2,0,0,1,3,2,2,2,1,0,0,0,0,0,0
1887,4863,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.8209245,22.77698156,5,2,1,2,2,2,1,2,2,2,2,1,5,3,1,3,0,0,0,0,0,0,0,0
1888,4864,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.8219726,22.77735725,4,3,4,2,2,2,2,1,0,0,0,0,4,3,1,1,5,1,1,1,2,2,1,3
1888,4865,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.8996887,22.73128702,2,2,2,1,1,1,1,3,1,3,2,3,2,3,0,0,0,0,2,2,2,1,2,3
1888,4866,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.8721031,22.77639592,1,3,2,3,4,2,1,3,1,2,2,1,4,3,4,2,3,2,0,0,0,0,0,0
1889,4867,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.9142846,22.52869198,1,2,3,1,3,3,0,0,0,0,0,0,4,2,0,0,3,1,2,2,1,2,1,2
1889,4868,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.9166726,22.52259246,5,2,5,1,5,3,1,1,0,0,0,0,4,3,0,0,5,1,0,0,0,0,0,0
1889,4869,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0587619,22.52703475,1,3,0,0,0,0,0,0,0,0,0,0,1,3,2,2,3,2,0,0,0,0,0,0
1890,4870,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.0420823,22.5260357,4,3,0,0,0,0,1,1,2,1,0,0,4,3,4,1,2,3,2,2,2,1,2,3
1890,4871,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.0396144,22.52683266,4,1,0,0,0,0,1,2,0,0,0,0,1,1,0,0,3,2,2,1,1,2,2,3
1890,4872,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0553674,22.56932114,2,2,5,2,3,2,0,0,0,0,0,0,1,2,0,0,5,2,1,3,2,2,0,0
1891,4873,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.1034216,22.55359773,5,2,4,3,4,3,2,2,1,3,1,2,2,2,2,3,3,3,0,0,0,0,0,0
1891,4874,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.1131635,22.54080651,1,1,2,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,2
1891,4875,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.1129034,22.54504988,1,2,3,3,3,3,0,0,0,0,0,0,5,3,0,0,4,3,1,3,1,3,2,3
1892,4876,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.1282363,22.54902959,0,0,0,0,0,0,1,1,0,0,0,0,5,2,0,0,5,2,1,1,0,0,0,0
1892,4877,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.1165329,22.5522795,1,3,2,3,4,3,0,0,0,0,0,0,5,1,0,0,3,3,1,3,1,3,2,3
1892,4878,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.1238771,22.57156129,4,2,4,3,0,0,2,3,2,3,1,2,3,2,0,0,2,3,1,3,2,3,2,2
1893,4879,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.1358967,22.56824967,5,1,1,2,5,3,1,2,0,0,0,0,4,2,1,1,3,2,0,0,0,0,0,0
1893,4880,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.1031884,22.61489448,4,1,1,2,5,2,1,3,2,2,1,3,2,1,1,1,0,0,0,0,0,0,0,0
1893,4881,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0111339,22.74579779,5,2,0,0,0,0,1,2,2,3,1,2,2,3,1,3,1,2,0,0,0,0,0,0
1894,4882,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.8745155,22.57794726,1,1,5,2,5,2,2,2,1,2,1,2,2,1,5,1,5,2,1,2,1,1,1,2
1894,4883,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.8565122,22.58513842,1,2,3,2,4,2,2,1,2,2,0,0,2,3,2,1,5,1,1,3,1,1,1,2
1894,4884,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.9254477,22.68233552,5,3,0,0,0,0,2,2,2,3,1,2,2,2,4,2,1,2,0,0,0,0,0,0
1895,4885,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.8183072,22.67555706,1,3,0,0,0,0,0,0,0,0,0,0,4,1,5,2,5,2,0,0,0,0,0,0
1895,4886,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.8294926,22.77605198,2,1,0,0,0,0,2,1,1,1,1,1,2,1,3,1,0,0,0,0,0,0,0,0
1895,4887,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0319532,22.52625385,1,2,2,2,0,0,1,2,2,2,1,1,1,2,1,3,4,2,0,0,0,0,0,0
1896,4888,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.1363793,22.55641637,1,2,4,1,3,1,0,0,0,0,0,0,5,1,0,0,2,2,1,2,2,1,2,3
1896,4889,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.1256593,22.55711282,4,2,2,2,5,3,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0
1896,4890,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0563229,22.64388028,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,4,2,2,2,2,2,0,0
1897,4891,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.0312202,22.67516474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
1897,4892,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.8953067,22.48545968,3,2,1,2,3,2,2,2,2,3,2,1,1,3,4,3,4,3,0,0,0,0,0,0
1897,4893,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0665768,22.51979943,3,3,5,2,4,2,1,3,2,3,0,0,3,3,2,3,2,3,2,2,2,3,1,3
1898,4894,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.0363975,22.57228122,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,2,5,1,1,2,2,3,1,2
1898,4895,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.0237941,22.60102673,4,2,0,0,0,0,2,3,1,2,1,1,4,3,1,1,5,2,0,0,0,0,0,0
1898,4896,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.2365236,22.58810713,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
1899,4897,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.9433599,22.77011474,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,1,2,2,2,3
1899,4898,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.8875857,22.49076602,5,1,4,3,2,1,2,3,0,0,0,0,2,3,0,0,4,1,1,1,1,3,0,0
1899,4899,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.9240269,22.48217037,3,2,2,2,2,3,0,0,0,0,0,0,1,3,2,2,3,3,0,0,0,0,0,0
1900,4900,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.9621245,22.54681796,5,3,1,2,1,1,0,0,0,0,0,0,3,2,0,0,4,2,1,2,0,0,0,0
1900,4901,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.0178593,22.5575223,4,3,1,3,4,2,1,1,1,2,2,3,1,3,1,1,0,0,0,0,0,0,0,0
1900,4902,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.9633945,22.57023489,3,3,4,2,0,0,2,3,0,0,0,0,5,2,1,2,1,2,0,0,0,0,0,0
1901,4903,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.1260941,22.57110438,5,3,0,0,0,0,0,0,0,0,0,0,2,3,2,3,1,3,1,3,1,2,1,2
1901,4904,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.0646213,22.69077496,1,1,2,1,5,3,2,2,0,0,0,0,4,1,0,0,5,1,1,2,1,2,0,0
1901,4905,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0136501,22.6753403,5,2,1,2,5,3,2,2,1,2,2,2,0,0,0,0,0,0,1,2,2,3,2,3
1902,4906,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.3021619,22.59713807,4,1,4,2,5,2,1,3,2,3,0,0,1,2,1,3,1,2,2,3,1,2,2,2
